"Date","Blacksburg-Christiansburg-Radford, VA MSA","Charlottesville, VA MSA","Harrisonburg, VA MSA","Lynchburg, VA MSA","Richmond, VA MSA","Roanoke, VA MSA","Virginia","Virginia Beach-Norfolk-Newport News, VA-NC MSA","Winchester, VA-WV MSA","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA, VA part","Staunton-Waynesboro, VA"
"01/01/2005","70800","96800","60300","103300","593700","155400","3573100","738300","53900","2863700","49300.0"
"02/01/2005","74000","97300","61100","103500","596400","156000","3588400","741500","54000","2877300","49300.0"
"03/01/2005","73700","97800","61000","104400","600300","156900","3614000","749400","54200","2895900","49800.0"
"04/01/2005","75200","100100","61300","105000","608200","157900","3650600","759400","55100","2919000","50200.0"
"05/01/2005","74100","99800","60400","104500","610700","159000","3671200","764600","55700","2937600","50400.0"
"06/01/2005","72700","100300","59900","104700","614200","160200","3701000","774300","56100","2955000","50600.0"
"07/01/2005","72200","98100","59600","103500","605000","158900","3682500","770000","53600","2952900","50000.0"
"08/01/2005","73300","97300","59700","103800","601400","159600","3683300","773500","53700","2946700","50100.0"
"09/01/2005","75500","101600","61200","106400","608000","160900","3700300","771100","55100","2954400","50400.0"
"10/01/2005","76600","99900","61700","106900","609300","160700","3696800","760400","57500","2954100","50500.0"
"11/01/2005","75400","100200","62100","107900","613000","162100","3718800","764800","57800","2975700","50600.0"
"12/01/2005","73500","100700","62200","107900","613200","162400","3727600","765100","57400","2987800","50500.0"
"01/01/2006","71300","99600","61600","105200","602700","159600","3655900","748000","56300","2927100","49900.0"
"02/01/2006","74900","100400","62900","105800","602900","159800","3666500","750200","56700","2939600","50200.0"
"03/01/2006","75400","100800","63200","106800","610200","161200","3702500","759200","57200","2967500","50500.0"
"04/01/2006","76300","103700","63600","107400","611900","161500","3715800","765900","57900","2974400","50700.0"
"05/01/2006","75000","103800","63100","106800","617600","162300","3745100","770700","58500","2992500","50700.0"
"06/01/2006","73300","103900","63500","107500","619600","164900","3779400","780700","59000","3015800","51000.0"
"07/01/2006","71900","101600","63500","106300","616500","162200","3746300","773900","58100","2998600","50300.0"
"08/01/2006","71200","100900","62900","106500","614800","162000","3741800","775000","58300","2991600","50400.0"
"09/01/2006","73900","104700","64800","108600","613700","163000","3738600","768100","58600","2994600","50700.0"
"10/01/2006","76200","104300","65800","108800","621400","163300","3748400","768800","58700","3001500","50900.0"
"11/01/2006","75500","105400","65500","109100","625300","164500","3767200","773100","59000","3013400","51200.0"
"12/01/2006","76400","105300","65800","109000","626500","164900","3779100","775000","58800","3027800","51100.0"
"01/01/2007","72300","102900","63700","106500","614200","161500","3703700","758100","57600","2961700","50300.0"
"02/01/2007","74700","104300","64100","106900","617500","160900","3709700","759500","57300","2969200","50400.0"
"03/01/2007","75000","105900","64200","107700","619200","162700","3741100","767600","57800","2993800","50900.0"
"04/01/2007","75300","106600","64300","108100","620300","162800","3757200","773000","58300","2999900","51100.0"
"05/01/2007","73400","106900","63200","108500","625600","164000","3781900","778600","58700","3018400","51300.0"
"06/01/2007","72800","106100","63600","108500","631600","165500","3813000","786700","59200","3033800","51600.0"
"07/01/2007","71700","104800","61800","107600","622400","163100","3781700","788400","58000","3022000","51000.0"
"08/01/2007","71700","104100","61700","107800","622600","163000","3774100","787200","58100","3011700","51100.0"
"09/01/2007","74500","106700","63800","109300","622900","163300","3777400","782100","58500","3009700","51600.0"
"10/01/2007","75900","107300","64600","109300","624400","163700","3784300","772800","57700","3027700","51300.0"
"11/01/2007","75400","107800","64700","110100","625500","164400","3802700","776400","57800","3040600","51600.0"
"12/01/2007","76200","107800","64900","110300","626800","164400","3807000","775600","57800","3051400","51500.0"
